Date,Nitrogen
12/1/75,88.1
1/1/76,87.6
2/1/76,85
3/1/76,84.8
4/1/76,84.7
5/1/76,84.6
6/1/76,83.5
7/1/76,83
8/1/76,83.2
9/1/76,83.1
10/1/76,83.5
11/1/76,83.2
12/1/76,83
1/1/77,82.5
2/1/77,84.5
3/1/77,86.9
4/1/77,87.6
5/1/77,87.4
6/1/77,87.1
7/1/77,87.2
8/1/77,87.1
9/1/77,87.2
10/1/77,86.4
11/1/77,84.6
12/1/77,83.9
1/1/78,83.3
2/1/78,85
3/1/78,86.6
4/1/78,86.7
5/1/78,86.1
6/1/78,85.7
7/1/78,85.2
8/1/78,84.5
9/1/78,84.5
10/1/78,85.5
11/1/78,84.2
12/1/78,83.9
1/1/79,84
2/1/79,85.1
3/1/79,86.4
4/1/79,89.4
5/1/79,89.8
6/1/79,89.3
7/1/79,90.6
8/1/79,91.7
9/1/79,93.4
10/1/79,95.1
11/1/79,98.4
12/1/79,100
1/1/80,.
2/1/80,.
3/1/80,.
4/1/80,.
5/1/80,.
6/1/80,.
7/1/80,.
8/1/80,.
9/1/80,.
10/1/80,.
11/1/80,.
12/1/80,116.1
1/1/81,118.9
2/1/81,121.6
3/1/81,124.9
4/1/81,129.6
5/1/81,130.8
6/1/81,126.4
7/1/81,126.4
8/1/81,126.8
9/1/81,125.2
10/1/81,125.9
11/1/81,127
12/1/81,125.9
1/1/82,125.4
2/1/82,125.7
3/1/82,125.3
4/1/82,124.8
5/1/82,123.7
6/1/82,122.9
7/1/82,119.7
8/1/82,119.7
9/1/82,119.2
10/1/82,120.5
11/1/82,118.4
12/1/82,117.5
1/1/83,117
2/1/83,116.6
3/1/83,116.4
4/1/83,116.6
5/1/83,116
6/1/83,115.4
7/1/83,114.9
8/1/83,114
9/1/83,111.7
10/1/83,111.7
11/1/83,113.2
12/1/83,114.9
1/1/84,116.7
2/1/84,121.3
3/1/84,126.1
4/1/84,127.6
5/1/84,127.8
6/1/84,127.1
7/1/84,126
8/1/84,122.6
9/1/84,122
10/1/84,122.7
11/1/84,121.1
12/1/84,121.2
1/1/85,122
2/1/85,123.1
3/1/85,123
4/1/85,123.7
5/1/85,123.3
6/1/85,122.6
7/1/85,122.4
8/1/85,121.1
9/1/85,123.8
10/1/85,122.2
11/1/85,121.8
12/1/85,119.6
1/1/86,114.5
2/1/86,114.6
3/1/86,115.3
4/1/86,114.3
5/1/86,114.3
6/1/86,114.1
7/1/86,108.7
8/1/86,103.8
9/1/86,102.5
10/1/86,99.6
11/1/86,99.1
12/1/86,99.7
1/1/87,97.5
2/1/87,102.1
3/1/87,106.2
4/1/87,108.9
5/1/87,105.9
6/1/87,104.7
7/1/87,103.8
8/1/87,103.7
9/1/87,102.7
10/1/87,101.7
11/1/87,103.2
12/1/87,105.3
1/1/88,110.4
2/1/88,117.3
3/1/88,120.4
4/1/88,120.3
5/1/88,119
6/1/88,115.2
7/1/88,116.8
8/1/88,117.2
9/1/88,119.3
10/1/88,122.9
11/1/88,127.1
12/1/88,131.4
1/1/89,133.5
2/1/89,134.9
3/1/89,136.4
4/1/89,133.9
5/1/89,130.8
6/1/89,121.4
7/1/89,113
8/1/89,110.2
9/1/89,107.6
10/1/89,106.7
11/1/89,108.7
12/1/89,112.3
1/1/90,114.4
2/1/90,120.1
3/1/90,119.6
4/1/90,119.1
5/1/90,115.8
6/1/90,112.4
7/1/90,113.1
8/1/90,115
9/1/90,121.4
10/1/90,127.1
11/1/90,129.9
12/1/90,130.5
1/1/91,131.3
2/1/91,131.4
3/1/91,130.5
4/1/91,128.3
5/1/91,126
6/1/91,123.6
7/1/91,123.1
8/1/91,124.3
9/1/91,123.9
10/1/91,125
11/1/91,123.6
12/1/91,124.7
1/1/92,123.6
2/1/92,122.9
3/1/92,122.1
4/1/92,122
5/1/92,123.4
6/1/92,123.7
7/1/92,121.2
8/1/92,118.5
9/1/92,119.2
10/1/92,121.8
11/1/92,121.3
12/1/92,121.1
1/1/93,122.3
2/1/93,124.2
3/1/93,125.5
4/1/93,125.6
5/1/93,125
6/1/93,123.1
7/1/93,121.6
8/1/93,118.8
9/1/93,118.9
10/1/93,119.5
11/1/93,128.7
12/1/93,121.9
1/1/94,123.6
2/1/94,126.8
3/1/94,129.1
4/1/94,133.9
5/1/94,136.8
6/1/94,135.7
7/1/94,136.9
8/1/94,138.3
9/1/94,138.2
10/1/94,143.5
11/1/94,147.8
12/1/94,148.3
1/1/95,155.8
2/1/95,161.2
3/1/95,165.3
4/1/95,167.2
5/1/95,166.6
6/1/95,164.3
7/1/95,157.3
8/1/95,148.5
9/1/95,147.1
10/1/95,147.8
11/1/95,152.4
12/1/95,156.8
1/1/96,161.8
2/1/96,162.4
3/1/96,165.8
4/1/96,164.9
5/1/96,162.3
6/1/96,156.3
7/1/96,151.5
8/1/96,149.9
9/1/96,150.5
10/1/96,157.8
11/1/96,159.8
12/1/96,165.8
1/1/97,167.6
2/1/97,169.8
3/1/97,170.5
4/1/97,170.4
5/1/97,168.3
6/1/97,163.1
7/1/97,158
8/1/97,157.3
9/1/97,156.1
10/1/97,151.5
11/1/97,148.8
12/1/97,144
1/1/98,142.1
2/1/98,140.1
3/1/98,139.9
4/1/98,136.8
5/1/98,139
6/1/98,138.7
7/1/98,136.4
8/1/98,132.2
9/1/98,127.9
10/1/98,126.4
11/1/98,123.1
12/1/98,120.4
1/1/99,119.6
2/1/99,119.7
3/1/99,121
4/1/99,121.7
5/1/99,118.9
6/1/99,117
7/1/99,113.5
8/1/99,113.1
9/1/99,115
10/1/99,120.7
11/1/99,120.5
12/1/99,122.4
1/1/00,126.3
2/1/00,130.7
3/1/00,133.7
4/1/00,135
5/1/00,134.7
6/1/00,138.2
7/1/00,147.2
8/1/00,148.2
9/1/00,152.5
10/1/00,157.8
11/1/00,161.6
12/1/00,170.6
1/1/01,209.1
2/1/01,218.6
3/1/01,216.8
4/1/01,202.8
5/1/01,187
6/1/01,171.1
7/1/01,159.6
8/1/01,149.3
9/1/01,144.9
10/1/01,137.6
11/1/01,132.9
12/1/01,131
1/1/02,130.3
2/1/02,129.1
3/1/02,127.2
4/1/02,126.1
5/1/02,128
6/1/02,132
7/1/02,131.5
8/1/02,132
9/1/02,130.6
10/1/02,133.5
11/1/02,137.9
12/1/02,141.6
1/1/03,150.9
2/1/03,163.6
3/1/03,183
4/1/03,188.7
5/1/03,184.1
6/1/03,177.6
7/1/03,173.8
8/1/03,175.8
9/1/03,178.4
10/1/03,180.7
11/1/03,182
12/1/03,185.6
1/1/04,192.6
2/1/04,198.4
3/1/04,199.3
4/1/04,200.2
5/1/04,194.6
6/1/04,197.7
7/1/04,200.2
8/1/04,206
9/1/04,206.3
10/1/04,214
11/1/04,217.5
12/1/04,220.1
1/1/05,220.2
2/1/05,219.6
3/1/05,218.8
4/1/05,226.6
5/1/05,230.4
6/1/05,232.8
7/1/05,228.4
8/1/05,227.5
9/1/05,236
10/1/05,256
11/1/05,266.9
12/1/05,279.3
1/1/06,284.7
2/1/06,272.7
3/1/06,264.6
4/1/06,256.4
5/1/06,251.4
6/1/06,242.7
7/1/06,231.9
8/1/06,228.3
9/1/06,225.2
10/1/06,228.2
11/1/06,228.5
12/1/06,233
1/1/07,244.5
2/1/07,256.9
3/1/07,272.1
4/1/07,283.4
5/1/07,281.9
6/1/07,283.1
7/1/07,282
8/1/07,273.8
9/1/07,272.6
10/1/07,285.2
11/1/07,291.5
12/1/07,314.5
1/1/08,338.6
2/1/08,348.5
3/1/08,368.5
4/1/08,381.8
5/1/08,410.6
6/1/08,437.9
7/1/08,473.8
8/1/08,491.9
9/1/08,508.2
10/1/08,498.3
11/1/08,454.2
12/1/08,411.1
1/1/09,359
2/1/09,319
3/1/09,293.5
4/1/09,308.6
5/1/09,292.7
6/1/09,264.8
7/1/09,250
8/1/09,246.2
9/1/09,235
10/1/09,243.6
11/1/09,246.8
12/1/09,245.6
1/1/10,255.8
2/1/10,269.4
3/1/10,274.8
4/1/10,289.9
5/1/10,290.6
6/1/10,286
7/1/10,271.9
8/1/10,279.4
9/1/10,291.3
10/1/10,310.1
11/1/10,314
12/1/10,326
1/1/11,341.2
2/1/11,357.2
3/1/11,373.7
4/1/11,386.5
5/1/11,395.7
6/1/11,405.4
7/1/11,413.4
8/1/11,413.2
9/1/11,419
10/1/11,430.8
11/1/11,441.1
12/1/11,443.5
1/1/12,430.6
2/1/12,410.4
3/1/12,405.8
4/1/12,425.7
5/1/12,451.5
6/1/12,455.9
7/1/12,451.3
8/1/12,433.6
9/1/12,432.6
10/1/12,436.1
11/1/12,433.9
12/1/12,437.7
1/1/13,442.6
2/1/13,448.7
3/1/13,444.3
4/1/13,462.2
5/1/13,470.4
6/1/13,450.3
7/1/13,428.3
8/1/13,384.5
9/1/13,375
10/1/13,369.4
11/1/13,369.2
12/1/13,365.2
1/1/14,364.9
2/1/14,382
3/1/14,389.6
4/1/14,401
5/1/14,420
6/1/14,403.8
7/1/14,389.9
8/1/14,380.4
9/1/14,376.4
10/1/14,371.9
11/1/14,373.3
12/1/14,376.8
1/1/15,379.9
2/1/15,378.4
3/1/15,371.2
4/1/15,372.6
5/1/15,376.4
6/1/15,377
7/1/15,363.2
8/1/15,348.3
9/1/15,360
10/1/15,347.3
11/1/15,344.3
12/1/15,353.1
1/1/16,338
2/1/16,323.2
3/1/16,314.3
4/1/16,319.5
5/1/16,320.6
6/1/16,312
7/1/16,290.1
8/1/16,270.3
9/1/16,263.7
10/1/16,263.2
11/1/16,265.5
12/1/16,267.3
1/1/17,270.6
2/1/17,288
3/1/17,297.3
4/1/17,304.5
5/1/17,299.8
6/1/17,296.7
7/1/17,282.4
8/1/17,263.8
9/1/17,258.6
10/1/17,264.3
11/1/17,278.7
12/1/17,290.9
1/1/18,292.1
2/1/18,307.7
3/1/18,307.5
4/1/18,307.8
5/1/18,305.3
6/1/18,301.4
7/1/18,293.9
8/1/18,295.1
9/1/18,298.4
10/1/18,310.1
11/1/18,318.6
12/1/18,321.9
1/1/19,321.9
2/1/19,332.5
3/1/19,329.2
4/1/19,326.5
5/1/19,325.6
6/1/19,318.2
7/1/19,312.2
8/1/19,300.4
9/1/19,297.3
10/1/19,299
11/1/19,294.5
12/1/19,277.4
1/1/20,280.8
2/1/20,279.9
3/1/20,282.5
4/1/20,294.8
5/1/20,294.2
6/1/20,285.3
7/1/20,280.9
8/1/20,277.9
9/1/20,280.7
10/1/20,286.6
11/1/20,286
