DATE,Potash
12/1/84,100
1/1/85,98
2/1/85,99.7
3/1/85,100.3
4/1/85,101.9
5/1/85,100.3
6/1/85,100.5
7/1/85,101.4
8/1/85,100.3
9/1/85,100.6
10/1/85,96.7
11/1/85,98.1
12/1/85,98.9
1/1/86,97.9
2/1/86,94
3/1/86,99.1
4/1/86,97.8
5/1/86,100.5
6/1/86,99.2
7/1/86,97.3
8/1/86,94.5
9/1/86,98.1
10/1/86,97.1
11/1/86,97
12/1/86,96
1/1/87,96.7
2/1/87,97.6
3/1/87,99
4/1/87,97.8
5/1/87,97.7
6/1/87,97.9
7/1/87,99
8/1/87,99.4
9/1/87,99.8
10/1/87,99.9
11/1/87,101.9
12/1/87,103
1/1/88,105
2/1/88,104.9
3/1/88,105.8
4/1/88,106
5/1/88,108.9
6/1/88,109.9
7/1/88,111.5
8/1/88,112.1
9/1/88,112.2
10/1/88,112
11/1/88,112.7
12/1/88,112.4
1/1/89,112.9
2/1/89,114.4
3/1/89,114.7
4/1/89,114.8
5/1/89,115.5
6/1/89,117.6
7/1/89,114.1
8/1/89,114.5
9/1/89,113.4
10/1/89,114.7
11/1/89,114.9
12/1/89,113.9
1/1/90,113.8
2/1/90,113.5
3/1/90,114.8
4/1/90,114.9
5/1/90,116.2
6/1/90,114.9
7/1/90,117.9
8/1/90,117.5
9/1/90,116.5
10/1/90,119.2
11/1/90,119.7
12/1/90,118
1/1/91,118.1
2/1/91,117.8
3/1/91,118
4/1/91,119.2
5/1/91,120.4
6/1/91,119.5
7/1/91,119
8/1/91,118.8
9/1/91,118.4
10/1/91,118.2
11/1/91,117.3
12/1/91,117.8
1/1/92,118.9
2/1/92,119.7
3/1/92,119.6
4/1/92,119.7
5/1/92,119.4
6/1/92,118.9
7/1/92,118.6
8/1/92,117.6
9/1/92,116.1
10/1/92,115.5
11/1/92,115.1
12/1/92,118.7
1/1/93,115.4
2/1/93,115.2
3/1/93,112.9
4/1/93,115.5
5/1/93,115.1
6/1/93,114.8
